
> delegai@0.1.0 test:coverage
> jest --coverage

------------------|---------|----------|---------|---------|-------------------
File              | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
------------------|---------|----------|---------|---------|-------------------
All files         |   84.87 |    98.63 |   97.05 |   84.87 |                   
 agents           |     100 |      100 |     100 |     100 |                   
  data-worker.ts  |     100 |      100 |     100 |     100 |                   
  exec-worker.ts  |     100 |      100 |     100 |     100 |                   
  orchestrator.ts |     100 |      100 |     100 |     100 |                   
 lib              |   81.41 |    98.18 |      96 |   81.41 |                   
  buyer.ts        |     100 |      100 |     100 |     100 |                   
  constants.ts    |     100 |      100 |     100 |     100 |                   
  delegator.ts    |     100 |      100 |     100 |     100 |                   
  events.ts       |     100 |      100 |     100 |     100 |                   
  mock-data.ts    |     100 |      100 |     100 |     100 |                   
  relay.ts        |     100 |      100 |     100 |     100 |                   
  seller.ts       |     100 |      100 |     100 |     100 |                   
  types.ts        |       0 |        0 |       0 |       0 | 1-150             
------------------|---------|----------|---------|---------|-------------------
